,Area_Code,GP_Name,Area_Type,Time_Period,Deprivation_Score_IMD_2019,GP_Rank,Percentile_Rank,decile,report_period_end,practice_name,practice_code,region_code,Pat_Appts_Use,Pat_Presc_Use,Total_Use,patient_list_size,Pat_Presc_Use_per_1000,Pat_Appts_Use_per_1000
951,Y02626,THE KEYS FAMILY PRACTICE,GP,2019,36.277067223382,1047.0,0.8501432664756448,20% most deprived,2021-09-30,THE KEYS FAMILY PRACTICE,Y02626,Y60,0.0,305.0,9263.0,4740.0,64.35,0.0
952,P92019,PEMBERTON SURGERY,GP,2019,36.2709971411672,1048.0,0.85,20% most deprived,2021-09-30,PEMBERTON SURGERY,P92019,Y62,0.0,982.0,12297.0,10283.0,95.5,0.0
953,C85028,LUNDWOOD MEDICAL CENTRE PMS PRACTICE,GP,2019,36.2704570538496,1049.0,0.8498567335243553,20% most deprived,2021-09-30,LUNDWOOD MEDICAL CENTRE PMS PRACTICE,C85028,Y63,0.0,123.0,4828.0,4437.0,27.72,0.0
954,F84719,LATIMER HEALTH CENTRE,GP,2019,36.2663365495948,1050.0,0.8497134670487106,20% most deprived,2021-09-30,LATIMER HEALTH CENTRE,F84719,Y56,19.0,92.0,3702.0,5281.0,17.42,3.6
955,M85021,MOSELEY MEDICAL CENTRE,GP,2019,36.2498957541191,1052.0,0.8494269340974212,20% most deprived,2021-09-30,MOSELEY MEDICAL CENTRE,M85021,Y60,0.0,136.0,4289.0,3247.0,41.88,0.0
956,C81009,WILSON STREET SURGERY,GP,2019,36.2454470796701,1053.0,0.8492836676217765,20% most deprived,2021-09-30,WILSON STREET SURGERY,C81009,Y60,309.0,1329.0,3042.0,15258.0,87.1,20.25
957,D82096,WOODCOCK RD SURGERY,GP,2019,36.2249227647432,1054.0,0.8491404011461318,20% most deprived,2021-09-30,WOODCOCK RD SURGERY,D82096,Y61,519.0,708.0,2251.0,8250.0,85.82,62.91
958,M85694,GARRETTS GREEN LANE SURGERY,GP,2019,36.1934793856103,1056.0,0.8488538681948424,20% most deprived,2021-09-30,GARRETTS GREEN LANE SURGERY,M85694,Y60,0.0,346.0,5639.0,2828.0,122.35,0.0
959,C81087,HAVEN MEDICAL CENTRE,GP,2019,36.1875400738768,1057.0,0.8487106017191977,20% most deprived,2021-09-30,HAVEN MEDICAL CENTRE,C81087,Y60,2.0,684.0,2235.0,11124.0,61.49,0.18
960,P81197,ROSEGROVE SURGERY,GP,2019,36.1770572668113,1058.0,0.848567335243553,20% most deprived,2021-09-30,ROSEGROVE SURGERY,P81197,Y62,11.0,752.0,8936.0,4731.0,158.95,2.33
961,C81615,COTTAGE LANE SURGERY,GP,2019,36.1500497466605,1059.0,0.8484240687679083,20% most deprived,2021-09-30,COTTAGE LANE SURGERY,C81615,Y62,44.0,145.0,6412.0,2225.0,65.17,19.78
962,Y02469,HERON GP PRACTICE,GP,2019,36.1395961811238,1060.0,0.8482808022922637,20% most deprived,2021-09-30,HERON GP PRACTICE,Y02469,Y60,163.0,406.0,1167.0,9699.0,41.86,16.81
963,M88022,JUBILEE HEALTH CENTRE,GP,2019,36.1376707721459,1061.0,0.8481375358166189,20% most deprived,2021-09-30,JUBILEE HEALTH CENTRE,M88022,Y60,0.0,34.0,317.0,4146.0,8.2,0.0
964,C84046,CLIFTON MEDICAL PRACTICE,GP,2019,36.1309411119239,1062.0,0.8479942693409742,20% most deprived,2021-09-30,CLIFTON MEDICAL PRACTICE,C84046,Y60,150.0,943.0,3679.0,8402.0,112.24,17.85
965,P81072,GLENROYD MEDICAL CENTRE,GP,2019,36.1291812771948,1063.0,0.8478510028653296,20% most deprived,2021-09-30,GLENROYD MEDICAL CENTRE,P81072,Y62,0.0,2467.0,33411.0,14590.0,169.09,0.0
966,P81165,IGHTENHILL MEDICAL CENTRE,GP,2019,36.1000630233583,1065.0,0.8475644699140401,20% most deprived,2021-09-30,IGHTENHILL MEDICAL CENTRE,P81165,Y62,0.0,114.0,3324.0,2357.0,48.37,0.0
967,D81631,CENTRAL MEDICAL CENTRE,GP,2019,36.0957857947233,1066.0,0.8474212034383954,20% most deprived,2021-09-30,CENTRAL MEDICAL CENTRE,D81631,Y61,144.0,373.0,1269.0,13587.0,27.45,10.6
968,M92040,MAYFIELD MEDICAL CENTRE,GP,2019,36.070208885704,1068.0,0.847134670487106,20% most deprived,2021-09-30,MAYFIELD MEDICAL PRACTICE,M92040,Y60,92.0,539.0,32445.0,9615.0,56.06,9.57
969,Y05346,WESTWOOD PRIMARY CARE CENTRE,GP,2019,36.0592853900709,1069.0,0.8469914040114613,20% most deprived,2021-09-30,WESTWOOD PRIMARY CARE CENTRE,Y05346,Y63,2.0,385.0,2448.0,3466.0,111.08,0.58
970,A89004,HETTON GROUP PRACTICE,GP,2019,36.0494366909026,1070.0,0.8468481375358167,20% most deprived,2021-09-30,HETTON GROUP PRACTICE,A89004,Y63,0.0,871.0,20775.0,11582.0,75.2,0.0
971,B85020,EIGHTLANDS SURGERY,GP,2019,36.047534166165,1071.0,0.8467048710601719,20% most deprived,2021-09-30,EIGHTLANDS SURGERY,B85020,Y63,243.0,689.0,2423.0,6811.0,101.16,35.68
972,H83034,THE WHITEHORSE PRACTICE,GP,2019,36.0424839886502,1072.0,0.8465616045845272,20% most deprived,2021-09-30,THE WHITEHORSE PRACTICE,H83034,Y56,0.0,69.0,4737.0,7285.0,9.47,0.0
973,N84035,15 SEFTON ROAD,GP,2019,36.0310229781482,1073.0,0.8464183381088826,20% most deprived,2021-09-30,15 SEFTON ROAD,N84035,Y62,0.0,414.0,7822.0,4120.0,100.49,0.0
974,C81118,DERBY FAMILY MEDICAL CENTRE,GP,2019,36.0018253510038,1074.0,0.8462750716332378,20% most deprived,2021-09-30,DERBY FAMILY MEDICAL CENTRE,C81118,Y60,95.0,275.0,692.0,8103.0,33.94,11.72
975,F84632,THE GREENHOUSE WALK-IN,GP,2019,35.9781379613357,1075.0,0.8461318051575931,20% most deprived,2021-09-30,THE GREENHOUSE WALK-IN,F84632,Y56,0.0,2.0,284.0,1180.0,1.69,0.0
976,A86013,DENTON PARK MEDICAL GROUP,GP,2019,35.9657039827772,1076.0,0.8459885386819485,20% most deprived,2021-09-30,DENTON PARK MEDICAL GROUP,A86013,Y63,0.0,647.0,14951.0,7497.0,86.3,0.0
977,P87040,SORREL BANK MEDICAL PRACTICE,GP,2019,35.9627768724188,1077.0,0.8458452722063037,20% most deprived,2021-09-30,SORREL BANK MEDICAL PRACTICE,P87040,Y62,0.0,723.0,,9033.0,80.04,0.0
978,M85056,WEOLEY PARK SURGERY,GP,2019,35.9554186738836,1078.0,0.845702005730659,20% most deprived,2021-09-30,WEOLEY PARK SURGERY,M85056,Y60,91.0,325.0,11061.0,7537.0,43.12,12.07
979,C82086,FOSSE MEDICAL CENTRE (GK SHARMA),GP,2019,35.9526772492708,1079.0,0.8455587392550143,20% most deprived,2021-09-30,FOSSE MEDICAL CENTRE (GK SHARMA),C82086,Y60,938.0,338.0,4533.0,9324.0,36.25,100.6
980,F81186,FELMORES MEDICAL CENTRE,GP,2019,35.9345605536332,1080.0,0.8454154727793697,20% most deprived,2021-09-30,FELMORES MEDICAL CENTRE,F81186,Y61,11.0,511.0,2719.0,7060.0,72.38,1.56
981,P84626,WILMSLOW ROAD SURGERY,GP,2019,35.9317668699187,1081.0,0.8452722063037249,20% most deprived,2021-09-30,WILMSLOW ROAD SURGERY,P84626,Y62,0.0,101.0,8787.0,5357.0,18.85,0.0
982,B81060,"FIELD HOUSE SURGERY, BRIDLINGTON",GP,2019,35.9029031620553,1082.0,0.8451289398280802,20% most deprived,2021-09-30,"FIELD HOUSE SURGERY, BRIDLINGTON",B81060,Y63,267.0,870.0,2686.0,6248.0,139.24,42.73
983,M88633,LODGE ROAD SURGERY,GP,2019,35.9014717818643,1083.0,0.8449856733524356,20% most deprived,2021-09-30,LODGE ROAD SURGERY,M88633,Y60,31.0,57.0,247.0,5314.0,10.73,5.83
984,A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,GP,2019,35.8961502403846,1084.0,0.8448424068767908,20% most deprived,2021-09-30,CHOPWELL PRIMARY HEALTHCARE CENTRE,A85024,Y63,16.0,112.0,3712.0,2450.0,45.71,6.53
985,A88613,EAST WING PRACTICE,GP,2019,35.8815375592713,1085.0,0.8446991404011461,20% most deprived,2021-09-30,EAST WING PRACTICE,A88613,Y63,151.0,252.0,9414.0,4065.0,61.99,37.15
986,A83025,BISHOPGATE MEDICAL CENTRE,GP,2019,35.8813161135306,1086.0,0.8445558739255015,20% most deprived,2021-09-30,BISHOPGATE MEDICAL CENTRE,A83025,Y63,16.0,1939.0,3573.0,13201.0,146.88,1.21
987,C87017,CLIFTON MEDICAL CENTRE,GP,2019,35.8733788636364,1087.0,0.8444126074498567,20% most deprived,2021-09-30,CLIFTON MEDICAL CENTRE,C87017,Y63,29.0,1339.0,28620.0,12937.0,103.5,2.24
988,B85016,MELTHAM ROAD SURGERY,GP,2019,35.8666426348027,1088.0,0.844269340974212,20% most deprived,2021-09-30,MELTHAM ROAD SURGERY,B85016,Y63,262.0,1351.0,3789.0,10074.0,134.11,26.01
989,A81009,VILLAGE MEDICAL CENTRE,GP,2019,35.8658491784038,1089.0,0.8441260744985674,20% most deprived,2021-09-30,VILLAGE MEDICAL CENTRE,A81009,Y63,344.0,618.0,2641.0,8329.0,74.2,41.3
990,P84023,SURREY LODGE PRACTICE,GP,2019,35.8528556859955,1090.0,0.8439828080229226,20% most deprived,2021-09-30,SURREY LODGE PRACTICE,P84023,Y62,0.0,226.0,14830.0,8642.0,26.15,0.0
991,M88008,STONE CROSS MEDICAL CENTRE,GP,2019,35.851785601957,1091.0,0.8438395415472779,20% most deprived,2021-09-30,STONE CROSS MEDICAL CENTRE,M88008,Y60,187.0,324.0,1822.0,5375.0,60.28,34.79
992,M91034,BLOXWICH MEDICAL PRACTICE,GP,2019,35.8505947163629,1092.0,0.8436962750716333,20% most deprived,2021-09-30,BLOXWICH MEDICAL PRACTICE,M91034,Y60,0.0,314.0,8349.0,4788.0,65.58,0.0
993,M88007,OAKESWELL HEALTH CENTRE,GP,2019,35.8496698152813,1093.0,0.8435530085959886,20% most deprived,2021-09-30,OAKESWELL HEALTH CENTRE,M88007,Y60,207.0,397.0,13412.0,9445.0,42.03,21.92
994,M85063,MIDLANDS MEDICAL PARTNERSHIP,GP,2019,35.8480393977302,1094.0,0.8434097421203438,20% most deprived,2021-09-30,MIDLANDS MEDICAL PARTNERSHIP,M85063,Y60,2561.0,5589.0,13391.0,61166.0,91.37,41.87
995,F82604,MARKS GATE HEALTH CENTRE,GP,2019,35.8025981384055,1096.0,0.8431232091690545,20% most deprived,2021-09-30,MARKS GATE HEALTH CENTRE,F82604,Y56,142.0,117.0,6723.0,5202.0,22.49,27.3
996,Y02506,SHEPPEY NHS HEALTHCARE CENTRE,GP,2019,35.7880802017654,1097.0,0.8429799426934097,20% most deprived,2021-09-30,SHEPPEY NHS HEALTHCARE CENTRE,Y02506,Y59,0.0,276.0,20541.0,8667.0,31.84,0.0
997,C84081,JOHN RYLE MEDICAL PRACTICE,GP,2019,35.7814207258835,1098.0,0.842836676217765,20% most deprived,2021-09-30,JOHN RYLE MEDICAL PRACTICE,C84081,Y60,0.0,661.0,2335.0,6362.0,103.9,0.0
998,C86020,ST.JOHNS GROUP PRACTICE,GP,2019,35.7810673443456,1099.0,0.8426934097421204,20% most deprived,2021-09-30,ST. JOHNS GROUP PRACTICE,C86020,Y63,0.0,740.0,15416.0,8631.0,85.74,0.0
999,M88014,DR GUDI PV & PARTNER,GP,2019,35.7606985042735,1100.0,0.8425501432664756,20% most deprived,2021-09-30,DR GUDI PV & PARTNER,M88014,Y60,100.0,176.0,715.0,5408.0,32.54,18.49
1000,M87612,ST JAMES MEDICAL PRACTICE1,GP,2019,35.754707810603,1101.0,0.8424068767908309,20% most deprived,2021-09-30,ST JAMES MEDICAL PRACTICE1,M87612,Y60,0.0,272.0,4430.0,2482.0,109.59,0.0
1001,M88635,DOG KENNEL LANE SURGERY,GP,2019,35.7477334732424,1104.0,0.8419770773638968,20% most deprived,2021-09-30,DOG KENNEL LANE SURGERY,M88635,Y60,13.0,25.0,111.0,1974.0,12.66,6.59
1002,C84628,SHERWOOD RISE MEDICAL CENTRE,GP,2019,35.7476197680282,1105.0,0.8418338108882522,20% most deprived,2021-09-30,SHERWOOD RISE MEDICAL CENTRE,C84628,Y60,0.0,355.0,6768.0,7096.0,50.03,0.0
1003,Y02521,WILLOW BANK SURGERY,GP,2019,35.7464651719248,1106.0,0.8416905444126075,20% most deprived,2021-09-30,WILLOW BANK SURGERY,Y02521,Y60,0.0,936.0,48140.0,11022.0,84.92,0.0
1004,A89041,HAPPY HOUSE SURGERY,GP,2019,35.7323872841444,1107.0,0.8415472779369627,20% most deprived,2021-09-30,HAPPY HOUSE SURGERY,A89041,Y63,155.0,742.0,21874.0,6943.0,106.87,22.32
1005,A88002,FARNHAM MEDICAL CTR.,GP,2019,35.7163623773803,1108.0,0.841404011461318,20% most deprived,2021-09-30,FARNHAM MEDICAL CTR.,A88002,Y63,0.0,953.0,33045.0,17298.0,55.09,0.0
1006,F82005,DR M GOYAL'S PRACTICE,GP,2019,35.7137982428115,1109.0,0.8412607449856734,20% most deprived,2021-09-30,DR M GOYAL'S PRACTICE,F82005,Y56,0.0,157.0,11476.0,6329.0,24.81,0.0
1007,C84034,CHURCHFIELDS MEDICAL PRACTICE,GP,2019,35.7075155266247,1110.0,0.8411174785100286,20% most deprived,2021-09-30,CHURCHFIELDS MEDICAL PRACTICE,C84034,Y60,82.0,1108.0,4711.0,9094.0,121.84,9.02
1008,F85007,LAWRENCE HOUSE SURGERY,GP,2019,35.697037817396,1111.0,0.8409742120343839,20% most deprived,2021-09-30,LAWRENCE HOUSE SURGERY,F85007,Y56,0.0,444.0,11980.0,15705.0,28.27,0.0
1009,Y00469,DR MA SIMS' PRACTICE,GP,2019,35.6742612026044,1113.0,0.8406876790830946,20% most deprived,2021-09-30,DR SIMS AND PARTNERS,Y00469,Y61,22.0,1226.0,4510.0,11456.0,107.02,1.92
1010,A81041,HART MEDICAL PRACTICE,GP,2019,35.67246825054,1114.0,0.8405444126074498,20% most deprived,2021-09-30,HART MEDICAL PRACTICE,A81041,Y63,1103.0,931.0,3023.0,9351.0,99.56,117.96
1011,P84669,CORNBROOK MEDICAL PRACTICE,GP,2019,35.6723281059683,1115.0,0.8404011461318052,20% most deprived,2021-09-30,CORNBROOK MEDICAL PRACTICE,P84669,Y62,0.0,520.0,25443.0,14156.0,36.73,0.0
1012,A85013,MILLENNIUM FAMILY PRACTICE,GP,2019,35.6601022964509,1116.0,0.8402578796561605,20% most deprived,2021-09-30,MILLENNIUM FAMILY PRACTICE,A85013,Y63,0.0,76.0,5903.0,3721.0,20.42,0.0
1013,F85705,JS MEDICAL PRACTICE,GP,2019,35.647237469121,1117.0,0.8401146131805157,20% most deprived,2021-09-30,JS MEDICAL PRACTICE,F85705,Y56,10.0,268.0,11626.0,12600.0,21.27,0.79
1014,P81711,DILL HALL SURGERY,GP,2019,35.6380829966948,1118.0,0.8399713467048711,20% most deprived,2021-09-30,DILL HALL SURGERY,P81711,Y62,0.0,0.0,4562.0,2772.0,0.0,0.0
1015,Y02755,ROCK HEALTHCARE LIMITED,GP,2019,35.6344463630477,1119.0,0.8398280802292264,20% most deprived,2021-09-30,ROCK HEALTHCARE LIMITED,Y02755,Y62,0.0,364.0,,9358.0,38.9,0.0
1016,A81006,TENNANT STREET MEDICAL PRACTICE,GP,2019,35.6123870901918,1120.0,0.8396848137535816,20% most deprived,2021-09-30,TENNANT STREET MEDICAL PRACTICE,A81006,Y63,137.0,3485.0,6096.0,14596.0,238.76,9.39
1017,P87035,ORDSALL HEALTH SURGERY,GP,2019,35.5577229603293,1121.0,0.839541547277937,20% most deprived,2021-09-30,ORDSALL HEALTH SURGERY,P87035,Y62,58.0,367.0,16260.0,10323.0,35.55,5.62
1018,A85021,SECOND STREET SURGERY,GP,2019,35.5265894974591,1122.0,0.8393982808022923,20% most deprived,2021-09-30,SECOND STREET SURGERY,A85021,Y63,0.0,58.0,2451.0,3811.0,15.22,0.0
1019,C86025,FRANCES STREET MEDICAL CENTRE,GP,2019,35.5251278032964,1123.0,0.8392550143266476,20% most deprived,2021-09-30,FRANCES STREET MEDICAL CENTRE,C86025,Y63,274.0,266.0,996.0,7303.0,36.42,37.52
1020,M91021,LOCKSTOWN PRACTICE,GP,2019,35.520049256157,1124.0,0.8391117478510028,20% most deprived,2021-09-30,LOCKSTOWN PRACTICE,M91021,Y60,0.0,626.0,14859.0,8169.0,76.63,0.0
1021,P82624,ORIENT HOUSE MEDICAL CENTRE,GP,2019,35.5160462146549,1125.0,0.8389684813753582,20% most deprived,2021-09-30,ORIENT HOUSE MEDICAL CENTRE,P82624,Y62,0.0,34.0,,3372.0,10.08,0.0
1022,Y02606,FAIRMORE MEDICAL PRACTICE,GP,2019,35.5057661225149,1126.0,0.8388252148997135,20% most deprived,2021-09-30,FAIRMORE MEDICAL PRACTICE,Y02606,Y62,0.0,322.0,7889.0,5888.0,54.69,0.0
1023,M82003,STIRCHLEY MEDICAL PRACTICE,GP,2019,35.4932769001288,1130.0,0.8382521489971346,20% most deprived,2021-09-30,STIRCHLEY MEDICAL PRACTICE,M82003,Y60,46.0,1715.0,36832.0,24350.0,70.43,1.89
1024,M86627,STOKE ALDERMOOR MED CTRE,GP,2019,35.4846735,1131.0,0.83810888252149,20% most deprived,2021-09-30,STOKE ALDERMOOR MED CTRE,M86627,Y60,1.0,167.0,5902.0,6250.0,26.72,0.16
1025,A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,GP,2019,35.4845499428136,1132.0,0.8379656160458453,20% most deprived,2021-09-30,OXFORD TCE & RAWLING RD MEDICAL GROUP,A85005,Y63,183.0,1420.0,44603.0,16200.0,87.65,11.3
1026,A81631,WEST VIEW MILLENIUM SURGERY A,GP,2019,35.4825945626478,1133.0,0.8378223495702005,20% most deprived,2021-09-30,WEST VIEW MILLENIUM SURGERY A,A81631,Y63,174.0,1107.0,3518.0,7010.0,157.92,24.82
1027,F82015,HEDGEMANS MEDICAL CENTRE,GP,2019,35.4789348935421,1134.0,0.8376790830945559,20% most deprived,2021-09-30,HEDGEMANS MEDICAL CENTRE,F82015,Y56,0.0,158.0,5041.0,5297.0,29.83,0.0
1028,F84621,SANDRINGHAM PRACTICE,GP,2019,35.475918245523,1135.0,0.8375358166189112,20% most deprived,2021-09-30,SANDRINGHAM PRACTICE,F84621,Y56,123.0,78.0,4983.0,4167.0,18.72,29.52
1029,M85088,KARIS MEDICAL CENTRE,GP,2019,35.4752592907199,1136.0,0.8373925501432665,20% most deprived,2021-09-30,KARIS MEDICAL CENTRE,M85088,Y60,60.0,637.0,32647.0,16335.0,39.0,3.67
1030,M85770,THE SHELDON MEDICAL CENTRE,GP,2019,35.4659015924867,1137.0,0.8372492836676217,20% most deprived,2021-09-30,THE SHELDON MEDICAL CENTRE,M85770,Y60,0.0,124.0,3912.0,2315.0,53.56,0.0
1031,B81023,THE CHANTRY HEALTH GROUP,GP,2019,35.4588328455285,1138.0,0.8371060171919771,20% most deprived,2021-09-30,THE CHANTRY HEALTH GROUP,B81023,Y63,5.0,419.0,2006.0,5992.0,69.93,0.83
1032,A83627,SILVERDALE FAMILY PRACTICE,GP,2019,35.4403927272727,1139.0,0.8369627507163324,20% most deprived,2021-09-30,SILVERDALE FAMILY PRACTICE,A83627,Y63,0.0,507.0,1364.0,6123.0,82.8,0.0
1033,A85614,THE BRIDGES MEDICAL PRACTICE,GP,2019,35.4365008434864,1140.0,0.8368194842406876,20% most deprived,2021-09-30,THE BRIDGES MEDICAL PRACTICE,A85614,Y63,157.0,255.0,18210.0,5700.0,44.74,27.54
1034,B85606,SLAITHWAITE ROAD SURGERY,GP,2019,35.4030687149678,1142.0,0.8365329512893983,20% most deprived,2021-09-30,THORNHILL LEES MEDICAL CENTRE,B85606,Y63,0.0,23.0,220.0,4815.0,4.78,0.0
1035,B86055,ASHFIELD MEDICAL CENTRE,GP,2019,35.3675375331175,1143.0,0.8363896848137535,20% most deprived,2021-09-30,ASHFIELD MEDICAL CENTRE,B86055,Y63,0.0,187.0,15032.0,6550.0,28.55,0.0
1036,B81025,HOLDERNESS HEALTH,GP,2019,35.3572123349463,1144.0,0.8362464183381089,20% most deprived,2021-09-30,HOLDERNESS HEALTH,B81025,Y63,659.0,6473.0,114827.0,35090.0,184.47,18.78
1037,A82007,DUKE STREET SURGERY,GP,2019,35.3418782536555,1146.0,0.8359598853868195,20% most deprived,2021-09-30,DUKE STREET SURGERY,A82007,Y62,375.0,1920.0,45530.0,9762.0,196.68,38.41
1038,C84092,BRIDGEWAY PRACTICE,GP,2019,35.3405011343013,1147.0,0.8358166189111748,20% most deprived,2021-09-30,BRIDGEWAY PRACTICE,C84092,Y60,2.0,202.0,472.0,4794.0,42.14,0.42
1039,M91033,WILLENHALL MEDICAL CENTRE,GP,2019,35.3314490511551,1148.0,0.8356733524355301,20% most deprived,2021-09-30,WILLENHALL MEDICAL CENTRE,M91033,Y60,0.0,146.0,10325.0,5192.0,28.12,0.0
1040,L81016,GRAHAM ROAD SURGERY,GP,2019,35.3211253179191,1149.0,0.8355300859598854,20% most deprived,2021-09-30,GRAHAM ROAD SURGERY,L81016,Y58,11.0,930.0,19909.0,11025.0,84.35,1.0
1041,B85009,"NORTH ROAD SUITE, RAVENSTHORPE HEALTH CTR",GP,2019,35.3134916886392,1150.0,0.8353868194842407,20% most deprived,2021-09-30,"NORTH ROAD SUITE,RAVENSTHORPE HEALTH CTR",B85009,Y63,334.0,666.0,2921.0,8645.0,77.04,38.64
1042,B87004,WARRENGATE MEDICAL CENTRE,GP,2019,35.2874440770278,1152.0,0.8351002865329513,20% most deprived,2021-09-30,WARRENGATE MEDICAL CENTRE,B87004,Y63,0.0,1075.0,2430.0,10765.0,99.86,0.0
1043,B85004,CALDER VIEW SURGERY,GP,2019,35.2840985685813,1153.0,0.8349570200573065,20% most deprived,2021-09-30,CALDER VIEW SURGERY,B85004,Y63,27.0,695.0,1619.0,5690.0,122.14,4.75
1044,P81685,GUTTERIDGE MEDICAL CENTRE,GP,2019,35.2653196889071,1155.0,0.8346704871060172,20% most deprived,2021-09-30,DR ALI GUTTRIDGE MEDICAL CENTRE,P81685,Y62,0.0,55.0,1545.0,2810.0,19.57,0.0
1045,H83006,NEW ADDINGTON GROUP PRACTICE,GP,2019,35.2482729346896,1158.0,0.8342406876790831,20% most deprived,2021-09-30,NEW ADDINGTON GROUP PRACTICE,H83006,Y56,0.0,422.0,27688.0,11265.0,37.46,0.0
1046,A88025,THE G.P.SUITE,GP,2019,35.2425039767216,1159.0,0.8340974212034384,20% most deprived,2021-09-30,THE G.P.SUITE,A88025,Y63,142.0,279.0,13341.0,4814.0,57.96,29.5
1047,F84657,CUMBERLAND MEDICAL CENTRE,GP,2019,35.2399676942047,1160.0,0.8339541547277937,20% most deprived,2021-09-30,CUMBERLAND MEDICAL CENTRE,F84657,Y56,0.0,80.0,15267.0,4707.0,17.0,0.0
1048,M91013,LOCKFIELD SURGERY,GP,2019,35.2369829334894,1161.0,0.833810888252149,20% most deprived,2021-09-30,LOCKFIELD SURGERY,M91013,Y60,0.0,587.0,14476.0,10196.0,57.57,0.0
1049,Y02575,PORTERS AVENUE HEALTH CENTRE,GP,2019,35.2278231842338,1162.0,0.8336676217765043,20% most deprived,2021-09-30,OMNES HEALTHCARE LTD,Y02575,Y56,522.0,321.0,37554.0,21807.0,14.72,23.94
1050,P81721,HOLLINS GROVE SURGERY,GP,2019,35.2203838011965,1163.0,0.8335243553008596,20% most deprived,2021-09-30,HOLLINS GROVE SURGERY,P81721,Y62,0.0,110.0,3292.0,2575.0,42.72,0.0
1051,C86024,CONISBROUGH GROUP PRACTICE,GP,2019,35.2167160134181,1164.0,0.8333810888252149,20% most deprived,2021-09-30,CONISBROUGH GROUP PRACTICE,C86024,Y63,480.0,1269.0,52216.0,11731.0,108.17,40.92
1052,F82040,JOHN SMITH MEDICAL CENTRE,GP,2019,35.2063084745763,1166.0,0.8330945558739254,20% most deprived,2021-09-30,JOHN SMITH MEDICAL CENTRE,F82040,Y56,178.0,150.0,4327.0,2877.0,52.14,61.87
1053,M85600,KINGS NORTON SURGERY,GP,2019,35.2045328018602,1167.0,0.8329512893982808,20% most deprived,2021-09-30,KINGS NORTON SURGERY,M85600,Y60,0.0,543.0,14818.0,13255.0,40.97,0.0
1054,L83646,ST.LEVAN SURGERY,GP,2019,35.2035662587868,1168.0,0.8328080229226361,20% most deprived,2021-09-30,ST. LEVAN SURGERY,L83646,Y58,67.0,252.0,1231.0,7936.0,31.75,8.44
1055,M83661,ADDERLEY GREEN SURGERY,GP,2019,35.1567005007704,1170.0,0.8325214899713467,20% most deprived,2021-09-30,ADDERLEY GREEN SURGERY,M83661,Y60,0.0,355.0,11604.0,5944.0,59.72,0.0
1056,F85628,DOWSETT ROAD SURGERY,GP,2019,35.1404828889355,1171.0,0.832378223495702,20% most deprived,2021-09-30,DOWSETT ROAD SURGERY,F85628,Y56,0.0,80.0,3390.0,4924.0,16.25,0.0
1057,D81065,NIGHTINGALE MEDICAL CENTRE,GP,2019,35.1348283307004,1173.0,0.8320916905444126,20% most deprived,2021-09-30,NIGHTINGALE MEDICAL CENTRE,D81065,Y61,177.0,876.0,2632.0,6045.0,144.91,29.28
1058,E84645,PARK ROYAL MEDICAL PRACTICE,GP,2019,35.1329687013171,1174.0,0.8319484240687679,20% most deprived,2021-09-30,PARK ROYAL MEDICAL PRACTICE,E84645,Y56,0.0,346.0,12031.0,8266.0,41.86,0.0
1059,J82062,CHEVIOT ROAD SURGERY,GP,2019,35.1304868412544,1176.0,0.8316618911174785,20% most deprived,2021-09-30,CHEVIOT ROAD SURGERY,J82062,Y59,91.0,1401.0,25231.0,15634.0,89.61,5.82
1060,P84017,LADYBARN GROUP PRACTICE,GP,2019,35.119438066186,1178.0,0.8313753581661891,20% most deprived,2021-09-30,LADYBARN GROUP PRACTICE,P84017,Y62,38.0,587.0,25284.0,12713.0,46.17,2.99
1061,F84017,STAR LANE MEDICAL CENTRE,GP,2019,35.0976796432319,1179.0,0.8312320916905445,20% most deprived,2021-09-30,STAR LANE MEDICAL CENTRE,F84017,Y56,17.0,310.0,41252.0,20303.0,15.27,0.84
1062,F84069,WELL STREET SURGERY,GP,2019,35.0767798497078,1180.0,0.8310888252148997,20% most deprived,2021-09-30,WELL STREET SURGERY,F84069,Y56,199.0,526.0,16567.0,13822.0,38.06,14.4
1063,M87010,THE WATERFRONT SURGERY,GP,2019,35.0509801364855,1181.0,0.830945558739255,20% most deprived,2021-09-30,THE WATERFRONT SURGERY,M87010,Y60,0.0,480.0,12166.0,8224.0,58.37,0.0
1064,B86041,VESPER ROAD,GP,2019,35.04572325208,1182.0,0.8308022922636104,20% most deprived,2021-09-30,VESPER ROAD,B86041,Y63,29.0,402.0,3080.0,7304.0,55.04,3.97
1065,N85009,COMMONFIELD RD SURGERY,GP,2019,35.042296388305,1183.0,0.8306590257879656,20% most deprived,2021-09-30,COMMONFIELD RD SURGERY,N85009,Y62,52.0,911.0,11224.0,5439.0,167.49,9.56
1066,Y00612,GREEN CEDARS MEDICAL CENTRE,GP,2019,35.0383032485443,1184.0,0.8305157593123209,20% most deprived,2021-09-30,GREEN CEDARS MEDICAL CENTRE,Y00612,Y56,0.0,45.0,3076.0,5849.0,7.69,0.0
1067,F81708,SAI MEDICAL CENTRE,GP,2019,35.0351818025456,1185.0,0.8303724928366762,20% most deprived,2021-09-30,SAI MEDICAL CENTRE,F81708,Y61,7.0,1026.0,2385.0,10459.0,98.1,0.67
